censusid,tractid,poverty_rank,unemployed_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12011020211,12011020211,0.621516274,0.887700535,0.913564607,0.716929671,3.139711086,0.884277036
1400000US12011020212,12011020212,0.706100175,0.945551774,0.827519002,0.956945256,3.436116208,0.968045714
1400000US12011020302,12011020302,0.401676087,0.863393291,0.418242058,0.590979934,2.27429137,0.639696021
1400000US12011020308,12011020308,0.576203469,0.963247448,0.231631261,0.631307228,2.402389406,0.67589851
1400000US12011020309,12011020309,0.107094134,0.543801653,0.166634184,0.110753945,0.928283916,0.259293468
1400000US12011020311,12011020311,0.317481972,0.610889645,0.332878581,0.683128775,1.944378973,0.546457668
1400000US12011020312,12011020312,0.208438901,0.88439475,0.296141103,0.355152932,1.744127686,0.489863553
1400000US12011020313,12011020313,0.566751121,0.929508994,0.229292536,0.480225989,2.205778639,0.620333262
1400000US12011020314,12011020314,0.551549406,0.929217307,0.305983239,0.512955387,2.299705338,0.646878402
1400000US12011020315,12011020315,0.235626584,0.618084589,0.497271487,0.614358075,1.965340735,0.552381787
1400000US12011020316,12011020316,0.330442409,0.331550802,0.168778016,0.377654393,1.20842562,0.338465852
1400000US12011020317,12011020317,0.369226272,0.346037919,0.47992594,0.546756283,1.741946414,0.489247092
