censusid,tractid,poverty_rank,unemployed_rank,earnings_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12011010407,12011010407,0.270512571,0.643655809,0.352539729,0.432176964,0.245762712,1.944647784,0.411218383
1400000US12011010502,12011010502,0.156402261,0.251434127,0.174514965,0.209900604,0.19890902,0.991160978,0.190685954
1400000US12011010503,12011010503,0.025725979,0.306368498,0.012966754,0.952835705,0.056204948,1.354101884,0.274630734
1400000US12011010504,12011010504,0.122198402,0.722411279,0.063468851,0.627850322,0.048217417,1.584146269,0.327837812
1400000US12011010601,12011010601,0.038296628,0.107924161,0.030710734,0.602124342,0.044515878,0.823571744,0.151924158
1400000US12011010603,12011010603,0.222276359,0.526494895,0.115433363,0.732313389,0.055620495,1.652138501,0.343563768
1400000US12011010604,12011010604,0.142369908,0.700340301,0.283513698,0.549892808,0.044418469,1.720535185,0.359383271
1400000US12011010605,12011010605,0.006723836,0.753038405,0.118553183,0.96677061,0.052795636,1.89788167,0.400401826
1400000US12011010606,12011010606,0.219352953,0.875644142,0.126450229,0.28337556,0.015488019,1.520310903,0.313073299
1400000US12011010607,12011010607,0.212434223,0.617209528,0.310422151,0.268855973,0.07412819,1.483050066,0.304455222
1400000US12011010609,12011010609,0.503118301,0.670199319,0.210197914,0.326447086,0.07500487,1.78496749,0.37428585
1400000US12011010610,12011010610,0.1473397,0.414389888,0.394072341,0.730559345,0.229787649,1.916148923,0.404626868
